Count,Id,category,url
493,8,"Phi công nhiễm Covid-19, phòng chống dịch Covid- 19",https://dantri.com.vn/suc-khoe/chuyen-chua-ke-ve-hon-3-thang-dau-tri-gianh-su-song-cho-phi-cong-nguoi-anh-20200625065229885.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=214
494,8,"virus corona, nam phi công người Anh, bệnh nhân 91",https://dantri.com.vn/suc-khoe/70-ngay-khong-ca-mac-covid-19-cong-dong-hon-94-nghin-nguoi-dang-cach-ly-20200625062311952.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=215
495,8,"virus corona, phi công người Anh",https://dantri.com.vn/suc-khoe/them-3-ca-mac-covid-19-tu-kuwait-ve-duoc-cach-ly-ngay-khi-nhap-canh-20200624181021326.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=216
496,8,"COVID-19, Mỹ",https://dantri.com.vn/the-gioi/giam-doc-cdc-my-covid-19-khien-nuoc-my-phai-dau-hang-20200624141606610.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=217
497,8,"COVID-19, Brazil",https://dantri.com.vn/the-gioi/covid-19-bung-phat-manh-tham-phan-brazil-yeu-cau-tong-thong-deo-khau-trang-20200624075524137.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=218
498,8,"chống dịch, COVID-19, tiếp xúc cử tri tphcm",https://dantri.com.vn/xa-hoi/chung-ta-da-co-chi-dao-chong-dich-ngay-tu-khi-con-virus-chua-duoc-dat-ten-20200623154918552.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=219
499,8,"virus corona, dịch Covid-19 ở Việt Nam, nam phi công người Anh",https://dantri.com.vn/suc-khoe/khong-ca-mac-covid-19-phi-cong-nguoi-anh-can-it-nhat-2-tuan-hoi-phuc-20200624062043042.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=220
500,8,"Tân Thiên Địa, Covid 19, virus corona, Hàn Quốc",https://dantri.com.vn/the-gioi/thanh-pho-han-quoc-doi-giao-phai-tan-thien-dia-boi-thuong-hon-82-trieu-usd-20200623140004841.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=221
501,8,"COVID-19, virus corona, WHO",https://dantri.com.vn/the-gioi/9-trieu-nguoi-mac-covid-19-who-canh-bao-dich-benh-dang-tang-toc-20200623064135162.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=222
502,8,"việt nam, virus corona, Covid 19, Người nước ngoài",https://dantri.com.vn/the-gioi/nguoi-my-tai-viet-nam-viet-ve-covid-19-tu-hao-ve-ngoi-nha-thu-2-20200622150639160.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=223
