Count,Id,category,url
82,2,"Giáo sư, Phó giáo sư, Hội đồng giáo sư",https://dantri.com.vn/giao-duc-khuyen-hoc/hoi-dong-giao-su-nha-nuoc-canh-bao-ve-tap-chi-quoc-te-kem-chat-luong-20200805105404165.htm#dt_source=Cate_GiaoDucKhuyenHoc&dt_campaign=DocNhieuNhatChuyenMuc&dt_medium=8
83,2,"Bộ Giáo dục, Phó chánh văn phòng, Nguyễn Việt Hùng",https://dantri.com.vn/giao-duc-khuyen-hoc/pho-chanh-van-phong-bo-gd-dt-tu-vong-khi-di-cong-tac-20200805173157705.htm#dt_source=Cate_GiaoDucKhuyenHoc&dt_campaign=MainList&dt_medium=31
84,2,"dịch covid-19, Giáo dục tỉnh Quảng Nam, thi tốt nghiệp THPT",https://dantri.com.vn/giao-duc-khuyen-hoc/quang-nam-cong-bo-ke-hoach-thi-tot-nghiep-thpt-nam-2020-20200805155508825.htm#dt_source=Cate_GiaoDucKhuyenHoc&dt_campaign=MainList&dt_medium=32
85,2,"hiệu trưởng ĐH Thủ Dầu Một, hiệu trưởng 39 tuổi, TS Nguyễn Thị Nhật Hằng",https://dantri.com.vn/giao-duc-khuyen-hoc/nu-tien-si-39-tuoi-duoc-bo-nhiem-lam-hieu-truong-truong-dh-thu-dau-mot-20200805121324057.htm#dt_source=Cate_GiaoDucKhuyenHoc&dt_campaign=MainList&dt_medium=33
86,2,thpt quốc gia 2020,https://dantri.com.vn/giao-duc-khuyen-hoc/hang-nghin-si-tu-do-ve-van-mieu-viet-chu-len-bang-vang-cau-may-20200805122506954.htm#dt_source=Cate_GiaoDucKhuyenHoc&dt_campaign=MainList&dt_medium=34
87,2,"Thi tốt nghiệp 2020, thi tốt nghiệp THPT 2020, hoãn kỳ thi tốt nghiệp 2020, Đà nẵng thi tốt nghiệp",https://dantri.com.vn/giao-duc-khuyen-hoc/thi-tot-nghiep-thpt-phu-huynh-khong-tap-trung-dong-quanh-cac-diem-thi-20200805112655633.htm#dt_source=Cate_GiaoDucKhuyenHoc&dt_campaign=MainList&dt_medium=35
88,2,"Giáo sư, Phó giáo sư, Hội đồng giáo sư",https://dantri.com.vn/giao-duc-khuyen-hoc/hoi-dong-giao-su-nha-nuoc-canh-bao-ve-tap-chi-quoc-te-kem-chat-luong-20200805105404165.htm#dt_source=Cate_GiaoDucKhuyenHoc&dt_campaign=MainList&dt_medium=36
89,2,"Thí sinh, thân nhiệt, giám thị coi thi",https://dantri.com.vn/giao-duc-khuyen-hoc/mot-thi-sinh-bi-sot-ca-phong-thi-co-phai-di-doi-20200805092934535.htm#dt_source=Cate_GiaoDucKhuyenHoc&dt_campaign=MainList&dt_medium=37
90,2,"gian lận thi cử, Công nghệ cao, Thi tốt nghiệp",https://dantri.com.vn/giao-duc-khuyen-hoc/phat-hien-duong-day-mua-ban-thiet-bi-cong-nghe-gian-lan-thi-cu-sieu-tinh-vi-20200805082620289.htm#dt_source=Cate_GiaoDucKhuyenHoc&dt_campaign=MainList&dt_medium=38
91,2,"Thí sinh, thi tốt nghiệp THPT, Quảng Nam",https://dantri.com.vn/giao-duc-khuyen-hoc/tam-su-cua-thi-sinh-quang-nam-lui-lich-thi-chung-em-met-moi-lam-20200805080028124.htm#dt_source=Cate_GiaoDucKhuyenHoc&dt_campaign=MainList&dt_medium=39
